,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
201,Sentinels,pANcada,Logitech G Pro X Superlight Magenta,1000.0,800.0,0.28,224.0,1.0,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Logitech G735
202,Sentinels,tarik,Finalmouse Ultralight X Medium,1000.0,800.0,0.47100000000000003,376.8,1.0,ZOWIE XL2566K,1680x1050,Artisan Ninja FX Zero Soft,Wooting 60 HE,beyerdynamic DT 770 Pro
203,Sentinels,TenZ,Endgame Gear XM2we,1000.0,1600.0,0.17300000000000001,276.8,1.1,ZOWIE XL2566K,1920x1080,Zowie G-SR II,Wooting 60 HE,Xtrfy H1
204,Paper Rex,something,Logitech G Pro X Superlight 2 White,2000.0,800.0,0.7,560.0,1.0,ZOWIE XL2566K,1920x1080,Yuki Aim Oni Black,Yuki Aim 65% Keyboard,HyperX Cloud III
205,Paper Rex,mindfreak,VAXEE ZYGEN NP-01S Wireless Orange,1000.0,400.0,0.6,240.0,0.9,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark V2,Wooting 60 HE,
206,Paper Rex,f0rsakeN,Logitech G Pro X Superlight 2 Black,2000.0,800.0,0.7120000000000001,569.6,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud III
207,Paper Rex,Monyet,ZOWIE S2-C,1000.0,400.0,0.632,252.8,1.0,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Ducky One 2 SF,HyperX Cloud II Pink
208,Paper Rex,d4v41,Logitech G Pro X Superlight Black,500.0,900.0,0.32,288.0,1.15,ZOWIE XL2566K,1280x1024,SteelSeries Dex,Wooting 60 HE,Razer Hammerhead Pro V2
209,Paper Rex,Jinggg,G-Wolves Hati S+ 4K,4000.0,1600.0,0.2,320.0,1.0,ZOWIE XL2566K,1280x960,Artisan Hayate Otsu Soft,Wooting 60 HE,HyperX Cloud II
210,Version1,effys,Logitech G Pro X Superlight Black,1000.0,400.0,0.45,180.0,1.0,ZOWIE XL2546K,1920x1080,Logitech G640 Original,Razer Huntsman Mini,HyperX Cloud II Wireless
211,100 Thieves,Thwifo,Logitech G Pro Wireless,1000.0,800.0,0.28,224.0,1.0,Alienware AW2521HF,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
